P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
61.88;21;17.12;0.805;3.47445;0.011028926;0.000260632;0.000400726;0.001295827;0.019877343;0.002559658;50.316963
69.08240795;3.857393337;27.06019871;0.8465;1;0;0;0.003622501;0;0.006417425;0;49.3459616
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0;0.012246388;0;0.021695033;0;51.0564442
69.08240795;3.857393337;27.06019871;0.8465;5;0;0;0.017294778;0;0.030638486;0;51.707727
69.08240795;3.857393337;27.06019871;0.8465;1;0;0.005198814;0;0;0.004720151;0;48.780222
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0.018383188;0;0;0.016690619;0;50.575662
69.08240795;3.857393337;27.06019871;0.8465;5;0;0.026243982;0;0;0.023827656;0;50.938431
69.08240795;3.857393337;27.06019871;0.8465;1;0;0;0;0.002521811;0.007368255;0;48.527394
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0;0;0.008904889;0.026018401;0;51.43407683
69.08240795;3.857393337;27.06019871;0.8465;5;0;0;0;0.012764652;0.037295898;0;52.712443
69.08240795;3.857393337;27.06019871;0.8465;1;0.003949457;0;0;0;0.006101206;0;48.935368
69.08240795;3.857393337;27.06019871;0.8465;3.5;0.013786246;0;0;0;0.021297291;0;49.929585
69.08240795;3.857393337;27.06019871;0.8465;2.5;0.019672831;0;0;0;0.030391013;0;52.149093
69.08240795;3.857393337;27.06019871;0.8465;1;0;0;0.002859985;0;0;0.006850605;48.93514
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0;0.01014291;0;0;0.024295607;48.657243
69.08240795;3.857393337;27.06019871;0.8465;5;0;0;0.014440667;0;0;0.034590149;50.133237
69.08240795;3.857393337;27.06019871;0.8465;1;0;0.004312571;0;0;0;0.005294205;49.819437
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0.015476809;0;0;0;0.018999663;49.475243
69.08240795;3.857393337;27.06019871;0.8465;5;0;0.022080693;0;0;0;0.027106733;49.504911
69.08240795;3.857393337;27.06019871;0.8465;1;0;0;0;0.001970434;0;0.007784431;48.724576
69.08240795;3.857393337;27.06019871;0.8465;3.5;0;0;0;0.006938888;0;0.02741289;50.241891
69.08240795;3.857393337;27.06019871;0.8465;5;0;0;0;0.009862095;0;0.038961364;49.770425
69.08240795;3.857393337;27.06019871;0.8465;1;0.003130776;0;0;0;0;0.006539481;49.007196
69.08240795;3.857393337;27.06019871;0.8465;3.5;0.011038939;0;0;0;0;0.023057836;48.89001
69.08240795;3.857393337;27.06019871;0.8465;5;0.015817008;0;0;0;0;0.033038136;50.087601
69.08240795;3.857393337;27.06019871;0.8465;3.5;0.011110868;0.000393852;0.000403704;0.001305454;0.022051369;0;50.191424
69.08240795;3.857393337;27.06019871;0.8465;3.47445;0.011028926;0.000260632;0.000400726;0.001295827;0.019877343;0.002559658;50.443434
0;0;100;0.867;1;0;0;0.003622501;0;0.006417425;0;40.482651
0;0;100;0.867;3.5;0;0;0.012246388;0;0.021695033;0;41.832945
0;0;100;0.867;5;0;0;0.017294778;0;0.030638486;0;42.528222
0;0;100;0.867;1;0;0.005198814;0;0;0.004720151;0;40.107735
0;0;100;0.867;3.5;0;0.018383188;0;0;0.016690619;0;41.280174
0;0;100;0.867;5;0;0.026243982;0;0;0.023827656;0;42.025686
0;0;100;0.867;1;0;0;0;0.002521811;0.007368255;0;40.364121
0;0;100;0.867;3.5;0;0;0;0.008904889;0.026018401;0;42.110388
0;0;100;0.867;5;0;0;0;0.012764652;0.037295898;0;42.529761
0;0;100;0.867;1;0.003949457;0;0;0;0.006101206;0;41.408181
0;0;100;0.867;3.5;0.013786246;0;0;0;0.021297291;0;42.384105
0;0;100;0.867;5;0.019672831;0;0;0;0.030391013;0;43.305432
0;0;100;0.867;1;0;0;0.002859985;0;0;0.006850605;40.509399
0;0;100;0.867;3.5;0;0;0.01014291;0;0;0.024295607;42.167122
0;0;100;0.867;5;0;0;0.014440667;0;0;0.034590149;41.553438
0;0;100;0.867;1;0;0.004312571;0;0;0;0.005294205;40.916327
0;0;100;0.867;3.5;0;0.015476809;0;0;0;0.018999663;41.015255
0;0;100;0.867;5;0;0.022080693;0;0;0;0.027106733;41.712738
0;0;100;0.867;1;0;0;0;0.001970434;0;0.007784431;40.689225
0;0;100;0.867;3.5;0;0;0;0.006938888;0;0.02741289;41.812818
0;0;100;0.867;5;0;0;0;0.009862095;0;0.038961364;41.768085
0;0;100;0.867;1;0.003130776;0;0;0;0;0.006539481;41.379381
0;0;100;0.867;3.5;0.011038939;0;0;0;0;0.023057836;42.310911
0;0;100;0.867;5;0.015817008;0;0;0;0;0.033038136;41.961213
0;0;100;0.867;3.5;0.011110868;0.000393852;0.000403704;0.001305454;0.022051369;0;42.023594
0;0;100;0.867;3.47445;0.011028926;0.000260632;0.000400726;0.001295827;0.019877343;0.002559658;41.920617
